"","Target","ChoiceOption","ClipNumber","PID","condType","percent.chosen","Speaker","Recipient","dyad","recent.similarity"
"241","Alicia","Amber",5,13,"Friend",0.6,"Alicia","Amber","AliciaAmber",0.53079426
"242","Alicia","Amber",5,14,"Friend",0.8,"Alicia","Amber","AliciaAmber",0.53079426
"243","Alicia","Amber",5,15,"Friend",0.8,"Alicia","Amber","AliciaAmber",0.53079426
"244","Alicia","Amber",5,16,"Win",0.4,"Alicia","Amber","AliciaAmber",0.53079426
"245","Alicia","Amber",5,18,"Win",0.8,"Alicia","Amber","AliciaAmber",0.53079426
"246","Alicia","Amber",5,19,"Rival",0.6,"Alicia","Amber","AliciaAmber",0.53079426
"247","Alicia","Amber",5,20,"Rival",0.25,"Alicia","Amber","AliciaAmber",0.53079426
"248","Alicia","Amber",5,21,"Win",0.4,"Alicia","Amber","AliciaAmber",0.53079426
"249","Alicia","Amber",5,22,"Friend",0.8,"Alicia","Amber","AliciaAmber",0.53079426
"250","Alicia","Amber",5,23,"Win",0.6,"Alicia","Amber","AliciaAmber",0.53079426
"251","Alicia","Amber",5,24,"Rival",0.2,"Alicia","Amber","AliciaAmber",0.53079426
"252","Alicia","Amber",5,25,"Rival",0.2,"Alicia","Amber","AliciaAmber",0.53079426
"253","Alicia","Amber",5,26,"Rival",0.75,"Alicia","Amber","AliciaAmber",0.53079426
"254","Alicia","Amber",5,27,"Rival",0.5,"Alicia","Amber","AliciaAmber",0.53079426
"255","Alicia","Amber",5,28,"Win",0.8,"Alicia","Amber","AliciaAmber",0.53079426
"256","Alicia","Amber",5,30,"Win",0.4,"Alicia","Amber","AliciaAmber",0.53079426
"257","Alicia","Amber",5,31,"Rival",0,"Alicia","Amber","AliciaAmber",0.53079426
"258","Alicia","Amber",5,32,"Friend",0,"Alicia","Amber","AliciaAmber",0.53079426
"259","Alicia","Amber",5,33,"Friend",0.8,"Alicia","Amber","AliciaAmber",0.53079426
"260","Alicia","Amber",5,34,"Friend",0.2,"Alicia","Amber","AliciaAmber",0.53079426
"261","Alicia","Amber",5,35,"Friend",0.6,"Alicia","Amber","AliciaAmber",0.53079426
"262","Alicia","Amber",5,36,"Win",1,"Alicia","Amber","AliciaAmber",0.53079426
"263","Alicia","Amber",5,37,"Win",0.2,"Alicia","Amber","AliciaAmber",0.53079426
"264","Alicia","Amber",5,39,"Friend",0.25,"Alicia","Amber","AliciaAmber",0.53079426
"265","Alicia","Amber",5,40,"Win",0.4,"Alicia","Amber","AliciaAmber",0.53079426
"266","Alicia","Amber",5,41,"Win",0.8,"Alicia","Amber","AliciaAmber",0.53079426
"267","Alicia","Amber",5,42,"Rival",0.6,"Alicia","Amber","AliciaAmber",0.53079426
"268","Alicia","Amber",5,43,"Win",0.6,"Alicia","Amber","AliciaAmber",0.53079426
"269","Alicia","Amber",5,44,"Friend",0.8,"Alicia","Amber","AliciaAmber",0.53079426
"270","Alicia","Amber",5,45,"Win",0.2,"Alicia","Amber","AliciaAmber",0.53079426
"271","Alicia","Amber",5,46,"Friend",0.6,"Alicia","Amber","AliciaAmber",0.53079426
"272","Alicia","Amber",5,47,"Rival",0.8,"Alicia","Amber","AliciaAmber",0.53079426
"273","Alicia","Amber",5,48,"Win",0.8,"Alicia","Amber","AliciaAmber",0.53079426
"274","Alicia","Amber",5,49,"Win",0.8,"Alicia","Amber","AliciaAmber",0.53079426
"275","Alicia","Amber",5,50,"Friend",0.4,"Alicia","Amber","AliciaAmber",0.53079426
"276","Alicia","Amber",5,51,"Win",0.6,"Alicia","Amber","AliciaAmber",0.53079426
"277","Alicia","Amber",5,52,"Rival",0,"Alicia","Amber","AliciaAmber",0.53079426
"278","Alicia","Amber",5,53,"Rival",0.4,"Alicia","Amber","AliciaAmber",0.53079426
"279","Alicia","Amber",5,54,"Friend",0.4,"Alicia","Amber","AliciaAmber",0.53079426
"280","Alicia","Amber",5,55,"Win",1,"Alicia","Amber","AliciaAmber",0.53079426
"281","Alicia","Amber",5,56,"Friend",0.6,"Alicia","Amber","AliciaAmber",0.53079426
